NCM8,NCM,IPI_raw,IPI_rate
07131010,0713.10.10,NT,0.0
07131090,0713.10.90,NT,0.0
07132010,0713.20.10,NT,0.0
07132090,0713.20.90,NT,0.0
07133110,0713.31.10,NT,0.0
07133190,0713.31.90,NT,0.0
07133210,0713.32.10,NT,0.0
07133290,0713.32.90,NT,0.0
07133311,0713.33.11,NT,0.0
07133319,0713.33.19,NT,0.0
07133321,0713.33.21,NT,0.0
07133329,0713.33.29,NT,0.0
07133391,0713.33.91,NT,0.0
07133399,0713.33.99,NT,0.0
07133410,0713.34.10,NT,0.0
07133490,0713.34.90,NT,0.0
07133510,0713.35.10,NT,0.0
07133590,0713.35.90,NT,0.0
07133910,0713.39.10,NT,0.0
07133990,0713.39.90,NT,0.0
07134010,0713.40.10,NT,0.0
07134090,0713.40.90,NT,0.0
07135010,0713.50.10,NT,0.0
07135090,0713.50.90,NT,0.0
07136010,0713.60.10,NT,0.0
07136090,0713.60.90,NT,0.0
07139010,0713.90.10,NT,0.0
07139090,0713.90.90,NT,0.0
07141000,0714.10.00,NT,0.0
07142000,0714.20.00,NT,0.0
07143000,0714.30.00,NT,0.0
07144000,0714.40.00,NT,0.0
07145000,0714.50.00,NT,0.0
07149000,0714.90.00,NT,0.0
08011100,0801.11.00,NT,0.0
08011200,0801.12.00,NT,0.0
08011900,0801.19.00,NT,0.0
08012100,0801.21.00,NT,0.0
08012200,0801.22.00,NT,0.0
08013100,0801.31.00,NT,0.0
08013200,0801.32.00,NT,0.0
08021100,0802.11.00,,
08021200,0802.12.00,,
08022100,0802.21.00,,
08022200,0802.22.00,,
08023100,0802.31.00,,
08023200,0802.32.00,,
08024100,0802.41.00,,
08024200,0802.42.00,,
08025100,0802.51.00,,
08025200,0802.52.00,,
08026100,0802.61.00,,
08026200,0802.62.00,,
08027000,0802.70.00,,
08028000,0802.80.00,,
08029100,0802.91.00,,
08029200,0802.92.00,,
08029900,0802.99.00,,
08031000,0803.10.00,NT,0.0
08039000,0803.90.00,NT,0.0
08041010,0804.10.10,NT,0.0
08041020,0804.10.20,,
08042010,0804.20.10,NT,0.0
08042020,0804.20.20,,
08043000,0804.30.00,NT,0.0
08044000,0804.40.00,NT,0.0
08045010,0804.50.10,NT,0.0
08045020,0804.50.20,NT,0.0
08045030,0804.50.30,NT,0.0
08051000,0805.10.00,NT,0.0
08052100,0805.21.00,NT,0.0
08052200,0805.22.00,NT,0.0
08052900,0805.29.00,NT,0.0
08054000,0805.40.00,NT,0.0
08055000,0805.50.00,NT,0.0
08059000,0805.90.00,NT,0.0
08061000,0806.10.00,NT,0.0
08062000,0806.20.00,,
08071100,0807.11.00,NT,0.0
08071900,0807.19.00,NT,0.0
08072000,0807.20.00,NT,0.0
08081000,0808.10.00,NT,0.0
08083000,0808.30.00,NT,0.0
08084000,0808.40.00,NT,0.0
08091000,0809.10.00,NT,0.0
08092100,0809.21.00,NT,0.0
08092900,0809.29.00,NT,0.0
08093010,0809.30.10,NT,0.0
08093020,0809.30.20,NT,0.0
08094000,0809.40.00,NT,0.0
08101000,0810.10.00,NT,0.0
08102000,0810.20.00,NT,0.0
08103000,0810.30.00,NT,0.0
08104000,0810.40.00,NT,0.0
08105000,0810.50.00,NT,0.0
08106000,0810.60.00,NT,0.0
08107000,0810.70.00,NT,0.0
08109011,0810.90.11,NT,0.0
08109012,0810.90.12,NT,0.0
08109013,0810.90.13,NT,0.0
08109014,0810.90.14,NT,0.0
08109015,0810.90.15,NT,0.0
08109016,0810.90.16,NT,0.0
08109017,0810.90.17,NT,0.0
08109090,0810.90.90,NT,0.0
08111000,0811.10.00,NT,0.0
08112000,0811.20.00,NT,0.0
08119000,0811.90.00,NT,0.0
08121000,0812.10.00,NT,0.0
08129000,0812.90.00,NT,0.0
08131000,0813.10.00,,
08132010,0813.20.10,,
08132020,0813.20.20,,
08133000,0813.30.00,,
08134010,0813.40.10,,
08134090,0813.40.90,,
08135000,0813.50.00,,
08140000,0814.00.00,,
09011110,0901.11.10,NT,0.0
09011190,0901.11.90,NT,0.0
09011200,0901.12.00,,
09012100,0901.21.00,,
09012200,0901.22.00,,
09019000,0901.90.00,,
09021000,0902.10.00,,
09022000,0902.20.00,,
09023000,0902.30.00,,
09024000,0902.40.00,,
09030010,0903.00.10,NT,0.0
09030090,0903.00.90,NT,0.0
09041100,0904.11.00,NT,0.0
09041200,0904.12.00,,
09042100,0904.21.00,,
09042200,0904.22.00,,
09051000,0905.10.00,NT,0.0
09052000,0905.20.00,NT,0.0
09061100,0906.11.00,NT,0.0
09061900,0906.19.00,NT,0.0
09062000,0906.20.00,,
09071000,0907.10.00,NT,0.0
09072000,0907.20.00,,
09081100,0908.11.00,,
09081200,0908.12.00,,
09082100,0908.21.00,,
09082200,0908.22.00,,
09083100,0908.31.00,,
09083200,0908.32.00,,
09092100,0909.21.00,,
09092200,0909.22.00,,
09093100,0909.31.00,,
09093200,0909.32.00,,
09096110,0909.61.10,,
09096120,0909.61.20,,
09096190,0909.61.90,,
09096210,0909.62.10,,
09096220,0909.62.20,,
09096290,0909.62.90,,
09101100,0910.11.00,,
09101200,0910.12.00,,
09102000,0910.20.00,,
09103000,0910.30.00,,
09109100,0910.91.00,,
09109900,0910.99.00,,
10011100,1001.11.00,NT,0.0
10011900,1001.19.00,NT,0.0
10019100,1001.91.00,NT,0.0
10019900,1001.99.00,NT,0.0
10021000,1002.10.00,NT,0.0
10029000,1002.90.00,NT,0.0
10031000,1003.10.00,NT,0.0
10039010,1003.90.10,NT,0.0
10039080,1003.90.80,NT,0.0
10039090,1003.90.90,NT,0.0
10041000,1004.10.00,NT,0.0
10049000,1004.90.00,NT,0.0
10051000,1005.10.00,NT,0.0
10059010,1005.90.10,NT,0.0
10059090,1005.90.90,NT,0.0
10061010,1006.10.10,NT,0.0
10061091,1006.10.91,NT,0.0
10061092,1006.10.92,NT,0.0
10062010,1006.20.10,NT,0.0
10062020,1006.20.20,NT,0.0
10063011,1006.30.11,NT,0.0
10063019,1006.30.19,NT,0.0
10063021,1006.30.21,NT,0.0
10063029,1006.30.29,NT,0.0
10064000,1006.40.00,NT,0.0
10071000,1007.10.00,NT,0.0
10079000,1007.90.00,NT,0.0
10081010,1008.10.10,NT,0.0
10081090,1008.10.90,NT,0.0
10082110,1008.21.10,NT,0.0
10082190,1008.21.90,NT,0.0
10082910,1008.29.10,NT,0.0
10082990,1008.29.90,NT,0.0
10083010,1008.30.10,NT,0.0
10083090,1008.30.90,NT,0.0
10084010,1008.40.10,NT,0.0
10084090,1008.40.90,NT,0.0
10085010,1008.50.10,NT,0.0
10085090,1008.50.90,NT,0.0
10086010,1008.60.10,NT,0.0
10086090,1008.60.90,NT,0.0
10089010,1008.90.10,NT,0.0
10089090,1008.90.90,NT,0.0
11010010,1101.00.10,NT,0.0
11010020,1101.00.20,,
11022000,1102.20.00,NT,0.0
11029000,1102.90.00,,
11031100,1103.11.00,,
11031300,1103.13.00,,
11031900,1103.19.00,,
11032000,1103.20.00,,
11041200,1104.12.00,,
11041900,1104.19.00,,
11042200,1104.22.00,,
11042300,1104.23.00,,
11042900,1104.29.00,,
11043000,1104.30.00,,
11051000,1105.10.00,,
11052000,1105.20.00,,
11061000,1106.10.00,,
11062000,1106.20.00,,
11063000,1106.30.00,,
11071010,1107.10.10,,
11071020,1107.10.20,,
11072010,1107.20.10,,
11072020,1107.20.20,,
11081100,1108.11.00,,
11081200,1108.12.00,,
11081300,1108.13.00,,
11081400,1108.14.00,,
11081900,1108.19.00,,
11082000,1108.20.00,,
11090000,1109.00.00,,
12011000,1201.10.00,NT,0.0
12019000,1201.90.00,NT,0.0
12023000,1202.30.00,NT,0.0
12024100,1202.41.00,NT,0.0
12024200,1202.42.00,NT,0.0
12030000,1203.00.00,NT,0.0
12040010,1204.00.10,NT,0.0
12040090,1204.00.90,NT,0.0
12051010,1205.10.10,NT,0.0
12051090,1205.10.90,NT,0.0
12059010,1205.90.10,NT,0.0
12059090,1205.90.90,NT,0.0
12060010,1206.00.10,NT,0.0
12060090,1206.00.90,NT,0.0
12071010,1207.10.10,NT,0.0
12071090,1207.10.90,NT,0.0
12072100,1207.21.00,NT,0.0
12072900,1207.29.00,NT,0.0
12073010,1207.30.10,NT,0.0
12073090,1207.30.90,NT,0.0
12074010,1207.40.10,NT,0.0
12074090,1207.40.90,NT,0.0
12075010,1207.50.10,NT,0.0
12075090,1207.50.90,NT,0.0
12076010,1207.60.10,NT,0.0
12076090,1207.60.90,NT,0.0
12077010,1207.70.10,NT,0.0
12077090,1207.70.90,NT,0.0
12079110,1207.91.10,NT,0.0
12079190,1207.91.90,NT,0.0
12079910,1207.99.10,NT,0.0
12079990,1207.99.90,NT,0.0
12081000,1208.10.00,,
12089000,1208.90.00,,
12091000,1209.10.00,NT,0.0
12092100,1209.21.00,NT,0.0
12092200,1209.22.00,NT,0.0
12092300,1209.23.00,NT,0.0
12092400,1209.24.00,NT,0.0
12092500,1209.25.00,NT,0.0
12092900,1209.29.00,NT,0.0
12093000,1209.30.00,NT,0.0
12099100,1209.91.00,NT,0.0
12099900,1209.99.00,NT,0.0
12101000,1210.10.00,NT,0.0
12102010,1210.20.10,NT,0.0
12102020,1210.20.20,NT,0.0
12112000,1211.20.00,NT,0.0
12113000,1211.30.00,NT,0.0
12114000,1211.40.00,NT,0.0
12115000,1211.50.00,NT,0.0
12116000,1211.60.00,NT,0.0
12119010,1211.90.10,NT,0.0
12119090,1211.90.90,NT,0.0
12122100,1212.21.00,,
12122900,1212.29.00,NT,0.0
12129100,1212.91.00,NT,0.0
12129200,1212.92.00,NT,0.0
12129300,1212.93.00,,
12129400,1212.94.00,NT,0.0
12129910,1212.99.10,,
12129990,1212.99.90,,
12130000,1213.00.00,NT,0.0
12141000,1214.10.00,NT,0.0
12149000,1214.90.00,NT,0.0
13012000,1301.20.00,,
13019010,1301.90.10,,
13019090,1301.90.90,,
13021110,1302.11.10,,
13021190,1302.11.90,,
13021200,1302.12.00,,
13021300,1302.13.00,,
13021400,1302.14.00,,
13021910,1302.19.10,,
13021920,1302.19.20,,
